"id","dogodek_id","vrstaOdsek_id","znesek"
"1","1","1","0.00"
"2","1","1","12.38"
"3","1","1","24.00"
"5","1","0","0.00"
"6","1","1","17.50"
"7","1","2","35.00"
"8","2","0","0.00"
"9","2","1","6.00"
"10","2","2","12.00"
"11","3","0","0.00"
"12","3","1","6.00"
"13","3","2","12.00"
"14","4","0","0.00"
"15","4","1","6.00"
"16","4","2","12.00"
"17","5","0","0.00"
"18","5","1","6.00"
"19","5","2","12.00"
"20","6","0","0.00"
"21","6","1","6.00"
"22","6","2","12.00"
"23","7","0","0.00"
"24","7","1","6.00"
"25","7","2","12.00"
